"TCGA.AF.2687.01"	"TCGA.AF.2690.01"	"TCGA.AF.2693.01"	"TCGA.AF.3911.01"	"TCGA.AF.4110.01"	"TCGA.AF.5654.01"	"TCGA.AF.6136.01"	"TCGA.AF.6655.01"	"TCGA.AF.6672.01"	"TCGA.AF.A56K.01"	"TCGA.AF.A56L.01"	"TCGA.AF.A56N.01"	"TCGA.AG.3591.01"	"TCGA.AG.3592.01"	"TCGA.AG.3725.01"	"TCGA.AG.3731.01"	"TCGA.AG.3732.01"	"TCGA.AG.3742.01"	"TCGA.AG.4021.01"	"TCGA.AG.4022.01"	"TCGA.AH.6544.01"	"TCGA.AH.6547.01"	"TCGA.AH.6549.01"	"TCGA.AH.6643.01"	"TCGA.AH.6644.01"	"TCGA.AH.6897.01"	"TCGA.AH.6903.01"	"TCGA.BM.6198.01"	"TCGA.CI.6619.01"	"TCGA.CI.6620.01"	"TCGA.CI.6621.01"	"TCGA.CI.6622.01"	"TCGA.CI.6623.01"	"TCGA.CI.6624.01"	"TCGA.CL.4957.01"	"TCGA.CL.5917.01"	"TCGA.CL.5918.01"	"TCGA.DC.4745.01"	"TCGA.DC.4749.01"	"TCGA.DC.5337.01"	"TCGA.DC.5869.01"	"TCGA.DC.6154.01"	"TCGA.DC.6155.01"	"TCGA.DC.6156.01"	"TCGA.DC.6157.01"	"TCGA.DC.6158.01"	"TCGA.DC.6160.01"	"TCGA.DC.6681.01"	"TCGA.DC.6682.01"	"TCGA.DC.6683.01"	"TCGA.DT.5265.01"	"TCGA.DY.A0XA.01"	"TCGA.DY.A1DC.01"	"TCGA.DY.A1DD.01"	"TCGA.DY.A1DE.01"	"TCGA.DY.A1DF.01"	"TCGA.DY.A1DG.01"	"TCGA.DY.A1H8.01"	"TCGA.EF.5830.01"	"TCGA.EF.5831.01"	"TCGA.EI.6506.01"	"TCGA.EI.6507.01"	"TCGA.EI.6508.01"	"TCGA.EI.6509.01"	"TCGA.EI.6510.01"	"TCGA.EI.6511.01"	"TCGA.EI.6512.01"	"TCGA.EI.6513.01"	"TCGA.EI.6514.01"	"TCGA.EI.6881.01"	"TCGA.EI.6882.01"	"TCGA.EI.6883.01"	"TCGA.EI.6884.01"	"TCGA.EI.6885.01"	"TCGA.EI.6917.01"	"TCGA.EI.7002.01"	"TCGA.EI.7004.01"	"TCGA.F5.6464.01"	"TCGA.F5.6465.01"	"TCGA.F5.6571.01"	"TCGA.F5.6702.01"	"TCGA.F5.6810.01"	"TCGA.F5.6811.01"	"TCGA.F5.6812.01"	"TCGA.F5.6813.01"	"TCGA.F5.6814.01"	"TCGA.F5.6861.01"	"TCGA.F5.6863.01"	"TCGA.F5.6864.01"	"TCGA.G5.6233.01"	"TCGA.G5.6235.01"	"TCGA.G5.6572.01"	"TCGA.G5.6641.01"
"hsa-mir-1322"	0	0	0	0	0	0	0	0	0	0	0	0.2751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1323"	0	0	0	0	0.1689	0	0	0	0	0	0	0	0	0	0	0.1833	0	0	0.1503	0	0.228	0	0	0	0	0	0	0	0.2489	0.1604	0	0	0	0.2067	0	0	0	0.2284	0.4658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2864	0.2275	0	0.1008	0	0	0	0	0.285	0	0	0	0	0.9532	0	0	0
"hsa-mir-3195"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-1321"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-3193"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4229	0	0.8799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-603"	0	0	0	0	0	0	0.3342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1324"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-3190"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-675"	8.8508	5.052	2.1671	3.1691	2.8748	5.1878	0.8336	1.6797	1.7195	4.4893	3.7467	4.6528	1.8374	1.8839	1.5063	3.3327	0	2.5805	1.9869	1.8605	0.7525	0.8892	5.7348	5.233	3.6183	6.5055	2.5233	3.3818	3.2147	4.6571	8.7538	2.1915	4.3406	2.2319	5.2622	3.372	1.6712	2.9748	2.4453	2.695	4.4606	5.1111	0.9747	1.8881	1.4148	2.257	1.4542	1.593	3.0837	3.1149	6.9443	1.0529	2.7788	3.1617	2.414	3.1317	0.7657	6.0429	5.3113	2.3997	1.6169	7.9961	2.1295	5.0704	1.7418	2.0088	2.2943	3.8347	4.1319	7.4192	3.1642	4.4087	0.9192	8.051	7.6089	2.6132	3.7449	3.5451	4.4462	1.9617	4.6439	3.12	2.4203	4.1672	3.9864	4.2892	3.7643	4.1818	3.2187	7.2956	2.0447	7.117	2.9447
"hsa-mir-676"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5228	1.1518	1.0358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-670"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0.2751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-671"	2.4945	2.5915	2.8648	1.9152	2.7202	3.8373	2.3706	3.5194	2.6299	2.8682	3.3163	3.233	1.7097	4.079	2.3987	3.1018	1.4257	3.5873	2.3706	2.7728	2.7699	2.9132	3.8268	3.0855	2.8846	3.6125	2.4515	3.4933	3.8635	3.7388	3.1225	2.4992	4.3893	3.2439	4.0688	3.4939	3.1536	2.943	2.9977	2.7294	3.1161	2.4912	3.5382	2.6119	2.6176	3.5607	3.3145	1.8668	3.2186	2.9078	4.291	2.526	3.6144	2.3353	2.9736	3.4365	3.3859	3.7729	3.1531	2.8299	3.5374	3.3928	3.0555	3.4795	3.2478	3.3891	4.0378	4.2127	2.8818	1.9801	4.4993	3.0524	3.023	2.5574	2.5511	2.1171	2.4598	2.466	2.5899	2.5835	3.0037	2.7041	3.5707	2.262	3.1116	3.5461	1.6772	1.9725	1.7434	3.5276	3.7883	2.816	2.5638
"hsa-mir-3198"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.2674	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-7-3"	2.3749	1.2676	2.5577	1.9152	0.457	2.2625	1.8509	3.2949	1.8216	1.6844	2.2838	2.3193	1.8374	3.3293	2.7199	3.8076	1.3078	2.8458	1.8618	0.5436	2.4465	1.1879	3.4785	1.9983	1.9927	2.7741	0	3.5968	2.9593	2.7827	2.167	2.8797	3.1521	1.6585	2.826	3.0129	3.7837	2.6197	3.2107	2.7294	3.6267	1.0035	4.3776	1.4006	2.7426	2.4114	2.7479	1.593	4.3446	2.7638	1.088	2.637	1.9077	1.5612	2.7851	2.4242	4.2895	4.0393	3.0562	2.3997	2.9801	1.4646	1.0876	2.6655	1.3018	3.2431	2.5561	5.3104	1.4721	1.3985	2.8213	1.5275	1.877	3.0138	1.6245	0.7378	0	1.3431	1.8835	1.4526	1.5652	3.071	2.706	2.2972	2.3019	1.8195	1.2623	1.1351	0.1248	4.827	2.7948	1.1983	3.0456
"hsa-mir-3194"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5955	0	0.506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-770"	0	0.2644	0.432	0	0	0	0	0	0.1644	0	0	0	0	0	0	0.3458	0.098	0	0	0	0.228	0	0	0	0	0	0	0	0	0	0	0	0	0.2067	0	0	0.2241	0	0	0.2097	0	0.2642	0	0	0	0	0	0.1713	0.2723	0	0.6442	0	0	0.1007	0	0	0	0.3379	0	0	0	0	0	0	0	0.265	0	0.2926	0	0	0	0	0	0	0	0	0.1503	0	0	0	0	0	0	0	0	0	0	0.1801	0	0	0.9544	0	0
